fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|22291000000|1281000000||-4842000000|6709000000|2330000000|15804000000|5978000000|-711000000|24108000000|-14112000000|-11243000000|0|4986000000|4986000000||6170000000|6170000000||256000000|||-4730000000||||24108000000|MSFT
2024-09-30|USD|34180000000|1482000000||-10965000000|-11821000000|2096000000|14923000000|-14037000000|373000000|24667000000|-15201000000|-16576000000|-5746000000|4107000000|4107000000||5574000000|5574000000||706000000|||-3401000000||||24667000000|MSFT
2024-03-31|USD|31917000000|1026000000||5476000000|2954000000|1853000000|10952000000|2028000000|-260000000|21939000000|-10700000000|-18808000000|-3810000000|4213000000|4213000000||5572000000|5572000000||522000000|||-3691000000||||21939000000|MSFT
2023-12-31|USD|18853000000|971000000||-8121000000|2179000000|1708000000|9735000000|2951000000|-1474000000|21870000000|-71925000000|-10147000000|-8490000000|4000000000|4000000000||5574000000|5574000000||261000000|||-3739000000||||21870000000|MSFT
2023-09-30|USD|30583000000|944000000||-5302000000|-7720000000|1016000000|9917000000|-11034000000|505000000|22291000000|503000000|14761000000|18692000000|4831000000|4831000000||5051000000|5051000000||685000000|||-4146000000||||22291000000|MSFT
2023-06-30|USD|28770000000|854000000||19080000000|14837000000|11958000000|8943000000|11244000000|-374000000|20081000000|-9134000000|-11413000000|0|5704000000|5704000000||5054000000|5054000000||512000000|||-5192000000||||20081000000|MSFT
2023-03-31|USD|24441000000|822000000||2547000000|704000000|960000000|6607000000|1408000000|-106000000|18299000000|-3264000000|-10290000000|0|5509000000|5509000000||5059000000|5059000000||536000000|||-4973000000||10887000000||18299000000|MSFT
2022-12-31|USD|11173000000|764000000||-8031000000|2316000000|1089000000|6274000000|3164000000|-1305000000|16425000000|-7150000000|-11349000000|0|5459000000|5459000000||5066000000|5066000000||243000000|||-5216000000||-7326000000||16425000000|MSFT
2022-09-30|USD|23198000000|767000000||-8315000000|-10188000000|822000000|6283000000|-11729000000|543000000|17556000000|-3132000000|-10883000000|0|5573000000|5573000000||4621000000|4621000000||575000000|||-4998000000||9183000000||17556000000|MSFT
2022-06-30|USD|24629000000|744000000||17713000000|16240000000|13401000000|6871000000|12634000000|461000000|16740000000|-9729000000|-13269000000|0|8757000000|8757000000||4632000000|4632000000||461000000|||-8296000000||1574000000||16740000000|MSFT
2022-03-31|USD|25386000000|835000000||3127000000|55000000|791000000|5340000000|-857000000|279000000|16728000000|-16171000000|-17345000000|0|8822000000|8822000000||4645000000|4645000000||477000000|||-8345000000||-8106000000|24000000|16728000000|MSFT
2021-12-31|USD|14480000000|548000000||-4327000000|5227000000|710000000|5865000000|5543000000|-394000000|18765000000|-1161000000|-11986000000|0|7433000000|7433000000||4652000000|4652000000||291000000|||-7142000000||1439000000|106000000|18765000000|MSFT
2021-09-30|USD|24540000000|670000000||-4596000000|-10051000000|665000000|5810000000|-10486000000|777000000|20505000000|-3250000000|-16276000000|0|7684000000|7684000000||4206000000|4206000000||612000000|||-7072000000||4941000000|-73000000|20505000000|MSFT
2021-06-30|USD|22710000000|646000000||16880000000|15093000000|9955000000|6452000000|11606000000|388000000|16458000000|-10853000000|-11371000000|0|7177000000|7177000000||4214000000|4214000000||450000000|||-6727000000||522000000|36000000|16458000000|MSFT
2021-03-31|USD|22179000000|633000000||3146000000|446000000|616000000|5089000000|-290000000|329000000|15457000000|-9684000000|-13192000000|0|6930000000|6930000000||4221000000|4221000000||396000000|||-6534000000||-730000000|-33000000|15457000000|MSFT
2020-12-31|USD|12516000000|576000000||-2914000000|3989000000|627000000|4174000000|4008000000|-788000000|15463000000|-1669000000|-13634000000|0|6535000000|6535000000||4230000000|4230000000||302000000|||-6233000000||-2773000000|14000000|15463000000|MSFT
2020-09-30|USD|19335000000|583000000||-6439000000|-7919000000|589000000|4907000000|-8843000000|808000000|13893000000|-5371000000|-10289000000|0|6743000000|6743000000||3856000000|3856000000||545000000|||-6198000000||3629000000|-46000000|13893000000|MSFT
2020-06-30|USD|18673000000|479000000||14318000000|12068000000|11288000000|4744000000|9355000000|251000000|13407000000|-4462000000|-12262000000|0|5791000000|5791000000||3865000000|3865000000||340000000|||-5451000000||13407000000|-83000000|11202000000|MSFT
2020-03-31|USD|17504000000|592000000||1160000000|-1290000000|491000000|3767000000|-891000000|-181000000|10752000000|51000000|-14645000000|0|7059000000|7059000000||3876000000|3876000000||342000000|||-6717000000||2846000000|-64000000|10752000000|MSFT
2019-12-31|USD|10680000000|563000000||-1500000000|3756000000|574000000|3545000000|4203000000|-799000000|11649000000|-6036000000|-8915000000|0|5206000000|5206000000||3886000000|3886000000||234000000|||-4972000000||-4253000000|18000000|11649000000|MSFT
2019-09-30|USD|13818000000|531000000||-9685000000|-8758000000|559000000|3385000000|-10090000000|561000000|10678000000|-1776000000|-10209000000|0|4912000000|4912000000||3510000000|3510000000||427000000|||-4485000000||1761000000|-72000000|10678000000|MSFT
2019-06-30|USD|16108000000|509000000||16754000000|11902000000|10100000000|4051000000|10070000000|113000000|12405000000|-7257000000|-8686000000|0|4633000000|4633000000||3521000000|3521000000||308000000|||-4325000000||144000000|-21000000|13187000000|MSFT
2019-03-31|USD|13520000000|490000000||1087000000|59000000|431000000|2565000000|-460000000|-12000000|8809000000|-1363000000|-7601000000|0|4753000000|4753000000||3526000000|3526000000||274000000|||-4479000000||4574000000|18000000|8809000000|MSFT
2018-12-31|USD|8900000000|466000000||-2002000000|1388000000|530000000|3707000000|2396000000|-1654000000|8420000000|-4200000000|-13216000000|0|6413000000|6413000000||3544000000|3544000000||200000000|||-6213000000||-8499000000|17000000|8420000000|MSFT
2018-09-30|USD|13657000000|452000000||-6206000000|-7582000000|556000000|3602000000|-9194000000|956000000|8824000000|-2953000000|-7384000000|0|3744000000|3744000000||3220000000|3220000000||360000000|||-3384000000||3191000000|-129000000|8824000000|MSFT
