fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|64096700000|54254400000|2216400000|2216400000||3503500000|6905900000|682200000||4923000000|1739100000|3183900000|2216400000|0|0|1126800000|951900000|59018600000|54303100000|186400000|1051600000|1000500000|1000500000|4715500000|300300000|3982500000|1000500000|2982000000|4983000000|4392900000|999300000|5078100000|20412300000|24335600000|63900000|406900000|ADP
2024-09-30|USD|49511400000|39911200000|2104900000|7347100000||3316700000|6624700000|692500000||3699300000|1330300000|2369000000|8287700000|940600000|5242200000|1070500000|923200000|44162800000|39372400000|145200000|1044600000|1000300000|5375700000|4790400000|316100000|3981700000|6054800000|2981400000|9357400000|4771600000|977000000|5348600000|20144900000|24001200000|63900000|407700000|ADP
2024-06-30|USD|54362700000|45542500000|2913400000|3297400000||3428200000|6141500000|685600000|1817700000|3689600000|1336000000|2353600000|3297400000|0|384000000|1204800000|1102100000|49815100000|45080000000|100600000|1051500000|1100000|0|4836900000|328600000|5983700000|1100000|2991300000|5983700000|44285800000|990800000|4547600000|19737100000|23622200000|63900000|408100000|ADP
2024-03-31|USD|64181600000|55639600000|3291700000|3291700000|47929500000|3460700000|5703700000|676500000||3650700000|1295300000|2355400000|3291700000|0|0|957700000|1014700000|59554900000|54901900000|84600000|1026300000|1000000|0|4653000000|309100000|2991700000|1000000|2990700000|2991700000|54422500000|935500000|4626700000|19305400000|23366100000|63900000|409800000|ADP
2023-12-31|USD|57069400000|48543400000|1641300000|1665700000|1|3372400000|5731300000|671000000||3684900000|1315100000|2369800000|1665700000|0|24400000|1020600000|995800000|52749800000|48097700000|76800000|1007700000|1100000|0|4652100000|326800000|2991300000|1100000|2990200000|2991300000|47809900000|918900000|4319600000|19019100000|22757100000|63900000|410700000|ADP
2023-09-30|USD|49323600000|40480100000|1441400000|1588200000|34762900000|3095100000|6296700000|660400000||3684300000|1331800000|2352500000|1799400000|211200000|146800000|1180700000|1352000000|45850800000|41228700000|67400000|992300000|900000|0|4622100000|334300000|2990700000|900000|2989800000|2990700000|40798700000|893000000|3472800000|18767400000|22455400000|63900000|411700000|ADP
2023-06-30|USD|50971000000|42170600000|2083500000|2098200000|1|3009600000|6383000000|681400000|1757600000|3683000000|1343600000|2339400000|2202800000|104600000|14700000|743900000|1255400000|47461900000|42767600000|96800000|1001500000|1200000|0|4807800000|349900000|5979200000|1200000|2989000000|5979200000|42438000000|933700000|3509100000|18469300000|22118000000|63900000|412100000|ADP
2023-03-31|USD|59881800000|51518200000|1828400000|1854700000|1|3072100000|5722600000|663500000||3696000000|1360300000|2335700000|1854700000|0|26300000|769300000|959900000|56188000000|51536100000|74800000|995000000|1100000|0|4651900000|332100000|2989700000|1100000|2988600000|2989700000|51179700000|918700000|3693800000|18162000000|21857800000|63900000|413500000|ADP
2022-12-31|USD|54453000000|46143600000|1345000000|1361400000|1|3162300000|5734600000|655100000||3680600000|1365600000|2315000000|1361400000|0|16400000|875800000|990900000|51466300000|46813700000|85300000|963400000|1200000|0|4652600000|334100000|2989300000|1200000|2988100000|2989300000|46455700000|931600000|2986700000|17913500000|21333000000|63900000|414400000|ADP
2022-09-30|USD|46364700000|37968800000|1207700000|1232100000|32937900000|2939200000|6016400000|645100000||3642100000|1368700000|2273400000|1399100000|167000000|24400000|884000000|1135000000|43788200000|39166200000|82700000|940500000|1700000|0|4622000000|348500000|3006300000|1700000|2987600000|3006300000|38743600000|902100000|2576500000|17695400000|21039000000|63900000|415200000|ADP
2022-06-30|USD|63068200000|54804900000|1436300000|1483300000|49569200000|3170600000|5954200000|652600000|1629100000|3633600000|1333100000|2300500000|1605400000|122100000|47000000|628800000|937400000|59842900000|55158700000|110200000|991400000|1200000|0|4805900000|370900000|5975400000|1200000|2987100000|5975400000|54723900000|924200000|3225300000|17335400000|20696300000|63900000|416100000|ADP
2022-03-31|USD|72068100000|63903800000|1634200000|1661800000|58319600000|3250700000|5667600000|650500000||3651400000|1327300000|2324100000|1661800000|0|27600000|699300000|910000000|67875200000|63106500000|81700000|1026700000|8400000|0|4768700000|344900000|3013500000|8400000|2986600000|3013500000|62720300000|954200000|4192900000|16850000000|20504500000|63900000|418200000|ADP
2021-12-31|USD|59102600000|51107300000|1745000000|1764700000|45890400000|2736000000|5547200000|644500000||3553200000|1222500000|2330700000|1764700000|0|19700000|735900000|868000000|54053000000|49084000000|103500000|1007900000|1100000|0|4969000000|363500000|3006400000|1100000|2986100000|3006400000|45766600000|843600000|5049600000|16362400000|20011800000|63900000|420400000|ADP
2021-09-30|USD|59987200000|52047900000|1602100000|1676400000|46808600000|2769700000|5476100000|648700000||3537400000|1211600000|2325800000|1676400000|0|74300000|867500000|817500000|54636500000|49669900000|77800000|1043000000|1200000|0|4966600000|345700000|3006700000|1200000|2985500000|3006700000|49354700000|813600000|5350700000|15924200000|19754800000|63900000|422000000|ADP
2021-06-30|USD|48772500000|40741800000|2575200000|2585600000|34905800000|2727400000|5876500000|684500000|1560000000|3671500000|1333100000|2338400000|2609100000|23500000|10400000|533400000|825800000|43102400000|38094800000|141100000|1082400000|1200000|0|5165100000|343200000|5991900000|1200000|2985000000|5991900000|37726300000|834100000|5670100000|15386800000|19451100000|63900000|423700000|ADP
2021-03-31|USD|54407700000|46752400000|1891500000|1902000000|41491000000|2765400000|5229800000|701400000||3546600000|1212800000|2333800000|1902000000|0|10500000|604500000|475100000|48733800000|44615200000|112200000|1085700000|1200000|0|4118600000|360900000|2007200000|1200000|1994300000|2007200000|41043000000|806500000|5673900000|14919600000|19307500000|63900000|426000000|ADP
2020-12-31|USD|49325900000|41662300000|1602200000|1612800000|36866200000|2509800000|5246400000|692700000||3553800000|1207200000|2346600000|1612800000|0|10600000|684100000|483500000|43425900000|39176500000|113900000|1103200000|1400000|0|4249400000|357400000|4001700000|1400000|1994100000|4001700000|36066100000|812500000|5900000000|14505400000|18893600000|63900000|428100000|ADP
2020-09-30|USD|42390100000|34815400000|1613100000|1616500000|29950300000|2489100000|5176800000|701500000||3542200000|1215900000|2326300000|1616500000|0|3400000|762900000|438000000|36581200000|32329600000|111200000|1101200000|1800000|0|4251600000|330400000|4002100000|1800000|1993900000|4002100000|29098400000|813900000|5808900000|14264000000|18644700000|63900000|429300000|ADP
2020-06-30|USD|39165500000|31564100000|1908500000|1908500000|26708100000|2441300000|5233200000|703900000|1524800000|3525200000|1215800000|2309400000|1922100000|13600000|0|506200000|458400000|33413300000|30126600000|102000000|1105800000|1001800000|1001800000|3148000000|344400000|3011200000|1001800000|1002800000|4013000000|28810300000|837000000|5752200000|14067000000|18436300000|63900000|429900000|ADP
2020-03-31|USD|43383400000|35708700000|1705000000|1708200000|30834400000|2620600000|5271700000|743100000||3406000000|1106700000|2299300000|1708200000|0|3200000|545500000|579900000|37892700000|34672800000|115500000|1128500000|1001800000|1001800000|3219900000|361200000|2168200000|98200000|1002800000|4013300000|33339700000|745600000|5490700000|14070400000|18416500000|63900000|429800000|ADP
2019-12-31|USD|49059400000|41365000000|1500400000|1507600000|36608600000|2587900000|5297100000|761300000||3417400000|1102500000|2314900000|1507600000|0|7200000|660900000|596600000|43695000000|40522400000|132900000|917800000|1001600000|1001600000|2470200000|360200000|2173400000|104500000|1003000000|4013500000|39177500000|726000000|5364400000|13709600000|17987600000|63900000|431800000|ADP
2019-09-30|USD|37714700000|29508500000|1403900000|4949000000|21393200000|2490400000|6380800000|767100000||3382200000|1078900000|2303300000|5525000000|576000000|3545100000|675900000|1129400000|32354000000|29200900000|108800000|922900000|1001300000|1001300000|2444900000|355400000|2177400000|103300000|1003400000|4013900000|24341000000|707900000|5360700000|13412600000|17729600000|63900000|433400000|ADP
