fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2024-09-30|USD|2111000000|8356000000|6245000000|4356000000|2086000000|823000000|37000000|1971000000||-68000000||68000000|8356000000|||960000000|2048000000|498000000|68000000|1603000000|2285000000|2086000000|3046000000|1550000000|LIN
2024-06-30|USD|2267000000|8267000000|6000000000|4251000000|2184000000|840000000|36000000|1834000000||-70000000||70000000|8267000000|||958000000|2171000000|508000000|70000000|1700000000|1397000000|2184000000|3142000000|1663000000|LIN
2024-03-31|USD|2060000000|8035000000|5975000000|4216000000|2095000000|860000000|38000000|1891000000||-65000000||65000000|8100000000|||949000000|2090000000|463000000|65000000|1627000000|904000000|2095000000|3044000000|1627000000|LIN
2023-12-31|USD|2025000000|8184000000|6159000000|4431000000|2028000000|832000000|39000000|1852000000||-71000000||71000000|8255000000|||949000000|2002000000|459000000|284000000|1543000000|2414000000|2028000000|2977000000|1543000000|LIN
2023-09-30|USD|2055000000|8115000000|6060000000|4314000000|2052000000|808000000|36000000|1817000000||-40000000||40000000|8155000000|||959000000|2052000000|487000000|40000000|1565000000|788000000|2052000000|3011000000|1565000000|LIN
2023-06-30|USD|2066000000|8152000000|6086000000|4316000000|2011000000|833000000|35000000|1850000000||-52000000|52000000|52000000|8204000000|46000000||960000000|2013000000|438000000|52000000|1575000000|1486000000|2011000000|2971000000|1575000000|LIN
2023-03-31|USD|1982000000|8156000000|6174000000|4431000000|1933000000|822000000|36000000|1877000000||-37000000|37000000|37000000|8193000000|41000000||948000000|1946000000|430000000|37000000|1516000000|1488000000|1933000000|2881000000|1516000000|LIN
2022-12-31|USD|1742000000|7850000000|6108000000|4427000000|1687000000|764000000|36000000|1835000000||-31000000|31000000|31000000|7881000000|||956000000|1716000000|388000000||1328000000|3638000000|1687000000|2643000000|1328000000|LIN
2022-09-30|USD|1711000000|8779000000|7068000000|5285000000|1613000000|770000000|35000000|1871000000||-18000000|18000000|18000000|8797000000|43000000||1045000000|1664000000|391000000||1273000000|-353000000|1613000000|2658000000|1273000000|LIN
2022-06-30|USD|719000000|8452000000|7733000000|4940000000|589000000|771000000|37000000|2892000000||-5000000|5000000|5000000|8457000000|50000000||1091000000|658000000|286000000||372000000|-1156000000|589000000|1680000000|372000000|LIN
2022-03-31|USD|1567000000|8211000000|6644000000|4798000000|1480000000|802000000|35000000|1980000000||-9000000|9000000|9000000|8211000000|44000000||1112000000|1543000000|369000000|9000000|1174000000|1284000000|1480000000|2592000000|1174000000|LIN
2021-12-31|USD|1294000000|8145000000|6851000000|4927000000|1337000000|787000000|38000000|2070000000||-31000000|31000000|31000000|8269000000|38000000||1135000000|1365000000|339000000||1024000000|1596000000|1337000000|2472000000|1026000000|LIN
2021-09-30|USD|2514000000|7660000000|5146000000|4368000000|1292000000|793000000|36000000|859000000||-8000000|8000000|8000000|7668000000|1000000||1163000000|1300000000|321000000||978000000|269000000|1292000000|2455000000|979000000|LIN
2021-06-30|USD|2395000000|7566000000|5171000000|4194000000|1142000000|822000000|34000000|1060000000||-18000000|18000000|18000000|7584000000|37000000||1171000000|1175000000|334000000||840000000|1278000000|1142000000|2313000000|841000000|LIN
2021-03-31|USD|1273000000|7223000000|5950000000|4054000000|1213000000|787000000|35000000|2019000000||-20000000|20000000|20000000|7243000000|43000000||1166000000|1248000000|268000000|20000000|979000000|325000000|1213000000|2379000000|980000000|LIN
2020-12-31|USD|842000000|7069000000|6227000000|4086000000|1029000000|802000000|38000000|2349000000||-35000000|35000000|35000000|7244000000|16000000||1192000000|1023000000|253000000||769000000|2053000000|1029000000|2221000000|770000000|LIN
2020-09-30|USD|2205000000|6817000000|4612000000|3835000000|969000000|770000000|36000000|854000000||-38000000|38000000|38000000|6855000000|23000000||1168000000|965000000|265000000||699000000|1348000000|969000000|2137000000|700000000|LIN
2020-06-30|USD|1794000000|6377000000|4583000000|3619000000|591000000|760000000|34000000|1043000000||-18000000|18000000|18000000|6377000000|29000000||1124000000|622000000|164000000|18000000|458000000|1225000000|591000000|1715000000|458000000|LIN
2020-03-31|USD|807000000|6739000000|5932000000|3843000000|733000000|861000000|44000000|2224000000||-24000000|24000000|24000000|6739000000|17000000||1142000000|738000000|165000000|24000000|571000000|-2001000000|733000000|1875000000|573000000|LIN
2019-12-31|USD|1725000000|7080000000|5355000000|4187000000|655000000|844000000|49000000|1168000000||-216000000|8000000|8000000|7080000000|||1162000000|673000000|162000000|8000000|507000000|1297000000|655000000|1817000000|511000000|LIN
2019-09-30|USD|1961000000|7164000000|5203000000|4061000000|1000000000|850000000|44000000|1020000000||3000000|3000000|3000000|7164000000|28000000||1095000000|1033000000|298000000|-3000000|728000000|-488000000|1000000000|2095000000|735000000|LIN
2019-06-30|USD|1858000000|7204000000|5346000000|4280000000|669000000|884000000|45000000|1135000000||-10000000|10000000|10000000|7204000000|28000000||1195000000|691000000|169000000|10000000|513000000|380000000|669000000|1864000000|522000000|LIN
2019-03-31|USD|4827000000|6944000000|2117000000|4116000000|609000000|879000000|46000000|2148000000||-23000000|23000000|23000000|6944000000|34000000||1223000000|657000000|140000000|23000000|435000000|738000000|609000000|1832000000|517000000|LIN
2018-12-31|USD|4914000000|5816000000|902000000|3955000000|3236000000|718000000|42000000|902000000||||72000000|5816000000|||902000000|3333000000|355000000|72000000|2870000000|3178000000|3236000000|4138000000|2978000000|LIN
2018-09-30|USD|2718000000|3024000000|306000000|1698000000|669000000|294000000|23000000|306000000||||40000000|3024000000|||306000000|617000000|156000000|40000000|461000000|401000000|669000000|975000000|461000000|LIN
2018-06-30|USD|2750000000|3061000000|311000000|1706000000|689000000|307000000|24000000|311000000||||44000000|3061000000|||311000000|638000000|158000000|44000000|480000000|-136000000|689000000|1000000000|480000000|LIN
2018-03-31|USD|2688000000|2999000000|311000000|1661000000|653000000|310000000|24000000|311000000||||46000000|2999000000|||311000000|610000000|148000000|46000000|462000000|580000000|653000000|964000000|462000000|LIN
2017-12-31|USD|2646000000|2953000000|307000000|1660000000|639000000|312000000|24000000|307000000||||41000000|2953000000|||307000000|595000000|558000000||-1129181|-1155893|639000000|946000000|33000000|LIN
2017-09-30|USD|2624000000|2922000000|298000000|1652000000|632000000|290825|23000000|298000000||||41000000|2922000000|||298000000|419000000|0||-290825|-309447|632000000|930000000|419000000|LIN
2017-06-30|USD|1236000000|2834000000|1598000000|1598000000|606000000|328000000|23000000|623000000||||38000000||||292000000|566000000|157000000||||606000000|898000000|406000000|LIN
2017-03-31|USD|1183000000|2728000000|1545000000|1545000000|567000000|313000000|23000000|589000000||||41000000||||287000000|541000000|149000000||||567000000|854000000|389000000|LIN
