fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2022-06-30|USD|16790000000|21504000000|4714000000|13682000000|3567000000|4100000000||5052000000|7000000|-360000000|20000000|380000000||0||585000000|2026000000|617000000|380000000|1409000000|1579000000|2406000000|2991000000|1409000000|DIS
2022-03-31|USD|14708000000|19249000000|4541000000|12594000000|3699000000|3768000000||4829000000|3000000|-355000000|19000000|374000000||0||594000000|975000000|505000000|374000000|470000000|434000000|1349000000|1943000000|470000000|DIS
2021-12-31|USD|17453000000|21819000000|4366000000|14567000000|3258000000|3787000000||4610000000|34000000|-311000000|50000000|361000000||-4000000||595000000|1592000000|488000000|361000000|1152000000|1268000000|1953000000|2548000000|1104000000|DIS
2021-09-30|USD|13964000000|18534000000|4570000000|17935000000|1587000000|4319000000||4953000000|73000000|-457000000|-3226000000|-2769000000||0||259000000|193000000|34000000|323000000|160000000|1556000000|-2576000000|-2317000000|159000000|DIS
2021-06-30|USD|13183000000|17022000000|3839000000|11233000000|2382000000|3168000000||4019000000|-9000000|-445000000|-41000000|404000000||0||604000000|785000000|-133000000|404000000|923000000|999000000|1189000000|1793000000|918000000|DIS
2021-03-31|USD|11445000000|15613000000|4168000000|9782000000|2465000000|3113000000||4333000000|131000000|-320000000|95000000|415000000||0||605000000|1009000000|108000000|415000000|912000000|1124000000|1424000000|2029000000|901000000|DIS
2020-12-31|USD|12569000000|16249000000|3680000000|15990000000|1332000000|2917000000||3879000000|113000000|-324000000|80000000|404000000||0||617000000|33000000|16000000|404000000|29000000|198000000|437000000|1054000000|17000000|DIS
2020-09-30|USD|11387000000|14707000000|3320000000|15160000000|606000000|2812000000||3525000000||-652000000|-188000000|464000000||762000000||107000000|-661000000|49000000|464000000|-710000000|-2415000000|-197000000|-90000000|-710000000|DIS
2020-06-30|USD|3585000000|11779000000|8194000000|7896000000|1099000000|2455000000||8376000000|41000000|-412000000|44000000|456000000||568000000||695000000|-5052000000|-331000000|456000000|-4718000000|-4701000000|-4596000000|-3901000000|-4721000000|DIS
2020-03-31|USD|13740000000|18025000000|4269000000|11918000000|2407000000|3393000000||4459000000|63000000|-300000000|65000000|365000000||135000000||738000000|983000000|523000000|365000000|475000000|356000000|1348000000|2086000000|460000000|DIS
2019-12-31|USD|16306000000|20877000000|4552000000|18017000000|3996000000|3709000000||16956000000|76000000|-283000000|79000000|362000000||224000000||702000000|2565000000|458000000|362000000|2133000000|2191000000|2927000000|3629000000|2107000000|DIS
2019-09-30|USD|19100000000|19118000000|4527000000|16815000000|3425000000|3699000000||15828000000||-629000000|-216000000|413000000||||439000000|1395000000|341000000|924000000|914000000|-1842000000|1808000000|2247000000|1054000000|DIS
2019-06-30|USD|15924000000|20262000000|4321000000|12819000000|3952000000|3368000000||16419000000|34000000|-411000000|61000000|472000000||-1000000||779000000|2153000000|393000000|472000000|1437000000|1825000000|2625000000|3404000000|1760000000|DIS
2019-03-31|USD|6546000000|14924000000|8376000000|8376000000|3815000000|2330000000||3155000000|30000000|-143000000|55000000|198000000||-312000000||828000000|7099000000|1647000000||5590000000|5448000000|7297000000|3962000000|5452000000|DIS
2018-12-31|USD|6302000000|15303000000|9001000000|9001000000|3655000000|2152000000||2884000000|75000000|-63000000|100000000|163000000||||732000000|3433000000|645000000||2786000000|2809000000|3596000000|4326000000|2788000000|DIS
2018-09-30|USD|3083000000|14306000000|11224000000|11224000000|3277000000|2321000000||3116000000||||189000000||||794000000|3105000000|783000000||2419000000|2487000000|3294000000|3396000000|2322000000|DIS
2018-06-30|USD|6880000000|15229000000|8348000000|8348000000|4189000000|2213000000||2956000000||||175000000||||744000000|3711000000|795000000||3059000000|2999000000|3886000000|4773000000|2916000000|DIS
2018-03-31|USD|7015000000|14548000000|7533000000|7533000000|4237000000|2239000000||2978000000||-143000000||172000000||||731000000|3750000000|813000000||3115000000|2996000000|3922000000|4844000000|2937000000|DIS
2017-12-31|USD|6614000000|15351000000|8737000000|8737000000|3986000000|2079000000||2821000000||||146000000||||742000000|3745000000|-728000000||4473000000||3986000000|4648000000|4423000000|DIS
